Datetime,BR2,BTH,CFW,DHW,GSW,GNT,GNP,KAY,PDK,RDG,SFK,SKO,TBF,WAK,WHE
1/2/2023 3:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 4:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 5:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 6:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 7:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 8:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 9:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 10:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 11:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 12:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 13:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 14:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 15:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 16:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 17:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 18:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 19:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 20:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 21:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 22:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/2/2023 23:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 0:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 1:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 2:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 3:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 4:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 5:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 6:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 7:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 8:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 9:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 10:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 11:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 12:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 13:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 14:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 15:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 16:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 17:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 18:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 19:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 20:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 21:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 22:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/3/2023 23:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 0:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 1:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 2:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 3:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 4:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 5:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 6:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 7:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 8:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 9:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 10:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 11:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 12:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 13:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 14:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 15:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 16:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 17:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 18:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 19:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 20:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 21:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 22:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/4/2023 23:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 0:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 1:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 2:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 3:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 4:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 5:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 6:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 7:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 8:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 9:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 10:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 11:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 12:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 13:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 14:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 15:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 16:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 17:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 18:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 19:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 20:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 21:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 22:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/5/2023 23:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 0:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 1:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 2:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 3:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 4:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 5:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 6:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 7:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 8:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 9:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 10:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 11:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 12:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 13:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 14:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 15:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
1/6/2023 16:00,24.38421959,15.68771963,10.91656122,19.80018733,9.390499309,26.37895482,6.730392334,25.86594037,84.71258641,5.722255652,22.36829319,46.03624264,20.64873564,22.14478065,19.25381579
